iter	Passed	Remaining
0	49	49105
1	92	46070
2	135	45144
3	179	44712
4	227	45292
5	270	44868
6	315	44776
7	359	44548
8	409	45074
9	455	45097
10	506	45508
11	548	45200
12	597	45388
13	641	45197
14	694	45579
15	748	46055
16	791	45792
17	836	45624
18	880	45476
19	927	45431
20	990	46154
21	1051	46725
22	1110	47169
23	1153	46907
24	1199	46798
25	1240	46483
26	1285	46316
27	1329	46142
28	1379	46193
29	1429	46210
30	1473	46050
31	1529	46281
32	1575	46156
33	1619	46023
34	1662	45830
35	1715	45942
36	1764	45917
37	1813	45899
38	1861	45877
39	1910	45853
40	1954	45705
41	2002	45686
42	2045	45528
43	2089	45396
44	2132	45265
45	2176	45147
46	2228	45186
47	2271	45057
48	2314	44925
49	2357	44797
50	2408	44824
51	2454	44751
52	2501	44690
53	2547	44628
54	2590	44508
55	2645	44601
56	2693	44556
57	2737	44461
58	2781	44359
59	2831	44354
60	2876	44279
61	2922	44210
62	2965	44101
63	3015	44094
64	3058	43995
65	3109	44005
66	3153	43920
67	3199	43851
68	3243	43761
69	3290	43711
70	3332	43606
71	3375	43501
72	3421	43444
73	3475	43484
74	3516	43372
75	3561	43298
76	3606	43227
77	3656	43221
78	3701	43157
79	3745	43068
80	3793	43044
81	3837	42962
82	3888	42961
83	3935	42917
84	3981	42858
85	4023	42762
86	4071	42722
87	4116	42661
88	4160	42589
89	4208	42552
90	4250	42461
91	4294	42385
92	4343	42361
93	4387	42292
94	4433	42239
95	4476	42154
96	4525	42125
97	4567	42044
98	4614	41996
99	4660	41946
100	4720	42013
101	4763	41941
102	4807	41868
103	4851	41801
104	4900	41770
105	4944	41698
106	4992	41665
107	5035	41587
108	5077	41502
109	5118	41416
110	5173	41431
111	5216	41358
112	5257	41269
113	5301	41201
114	5348	41163
115	5398	41137
116	5442	41077
117	5496	41083
118	5538	41002
119	5580	40927
120	5624	40858
121	5671	40813
122	5722	40801
123	5770	40763
124	5811	40682
125	5855	40619
126	5897	40539
127	5946	40511
128	5988	40431
129	6030	40356
130	6072	40279
131	6119	40240
132	6162	40173
133	6207	40119
134	6251	40053
135	6303	40042
136	6344	39965
137	6387	39896
138	6431	39837
139	6479	39800
140	6520	39726
141	6568	39691
142	6612	39628
143	6664	39617
144	6708	39556
145	6752	39498
146	6798	39450
147	6841	39383
148	6882	39307
149	6924	39239
150	6972	39200
151	7013	39130
152	7057	39068
153	7100	39007
154	7144	38947
155	7193	38919
156	7236	38853
157	7280	38801
158	7327	38755
159	7374	38714
160	7417	38655
161	7461	38594
162	7504	38534
163	7553	38503
164	7599	38456
165	7641	38394
166	7686	38339
167	7733	38297
168	7774	38228
169	7817	38169
170	7859	38104
171	7907	38066
172	7950	38006
173	8000	37981
174	8044	37922
175	8088	37870
176	8133	37817
177	8177	37765
178	8221	37707
179	8268	37669
180	8312	37613
181	8367	37606
182	8411	37551
183	8454	37494
184	8498	37438
185	8545	37398
186	8587	37333
187	8630	37276
188	8675	37228
189	8726	37201
190	8774	37166
191	8818	37111
192	8862	37058
193	8906	37002
194	8952	36958
195	8997	36910
196	9044	36868
197	9085	36802
198	9134	36767
199	9182	36730
200	9244	36746
201	9287	36692
202	9331	36636
203	9375	36584
204	9426	36555
205	9469	36500
206	9513	36445
207	9555	36385
208	9604	36350
209	9646	36290
210	9690	36235
211	9734	36181
212	9777	36128
213	9825	36086
214	9868	36030
215	9918	35999
216	9961	35945
217	10011	35914
218	10054	35856
219	10108	35838
220	10150	35780
221	10193	35724
222	10241	35685
223	10286	35635
224	10332	35590
225	10373	35527
226	10416	35470
227	10465	35436
228	10510	35386
229	10554	35335
230	10601	35291
231	10644	35236
232	10688	35184
233	10731	35128
234	10774	35074
235	10823	35037
236	10865	34979
237	10913	34942
238	10956	34887
239	11005	34849
240	11048	34794
241	11088	34732
242	11131	34675
243	11179	34637
244	11222	34582
245	11265	34528
246	11307	34470
247	11351	34420
248	11395	34371
249	11447	34341
250	11489	34286
251	11540	34256
252	11584	34204
253	11632	34165
254	11677	34115
255	11719	34060
256	11771	34033
257	11815	33982
258	11863	33941
259	11907	33889
260	11956	33853
261	12006	33821
262	12051	33771
263	12096	33723
264	12144	33682
265	12187	33629
266	12233	33585
267	12276	33532
268	12320	33479
269	12362	33425
270	12410	33385
271	12452	33328
272	12495	33275
273	12540	33228
274	12587	33184
275	12629	33130
276	12672	33077
277	12718	33032
278	12766	32991
279	12819	32964
280	12865	32919
281	12908	32866
282	12951	32812
283	13004	32786
284	13057	32757
285	13103	32713
286	13148	32665
287	13202	32639
288	13254	32608
289	13297	32556
290	13342	32507
291	13395	32479
292	13437	32425
293	13480	32371
294	13529	32333
295	13575	32288
296	13619	32237
297	13663	32187
298	13713	32150
299	13758	32102
300	13799	32046
301	13845	32000
302	13892	31957
303	13936	31907
304	13984	31865
305	14026	31812
306	14074	31770
307	14123	31731
308	14167	31681
309	14218	31647
310	14266	31605
311	14310	31555
312	14359	31518
313	14411	31485
314	14455	31434
315	14499	31384
316	14542	31333
317	14590	31292
318	14645	31264
319	14689	31214
320	14742	31184
321	14791	31145
322	14839	31104
323	14890	31067
324	14934	31017
325	14984	30979
326	15027	30928
327	15076	30888
328	15120	30839
329	15169	30797
330	15220	30763
331	15269	30722
332	15311	30668
333	15355	30618
334	15404	30579
335	15447	30527
336	15499	30493
337	15542	30440
338	15583	30385
339	15626	30332
340	15670	30283
341	15716	30238
342	15759	30187
343	15803	30137
344	15846	30085
345	15888	30032
346	15935	29988
347	15979	29938
348	16020	29883
349	16063	29831
350	16107	29782
351	16155	29740
352	16199	29690
353	16243	29641
354	16290	29598
355	16337	29553
356	16387	29514
357	16430	29464
358	16484	29433
359	16527	29381
360	16569	29329
361	16612	29278
362	16657	29230
363	16706	29190
364	16757	29153
365	16812	29123
366	16857	29075
367	16900	29024
368	16942	28972
369	16990	28928
370	17031	28876
371	17073	28822
372	17114	28769
373	17162	28727
374	17205	28675
375	17248	28625
376	17292	28576
377	17336	28527
378	17389	28493
379	17432	28442
380	17475	28392
381	17517	28340
382	17564	28296
383	17613	28254
384	17660	28210
385	17709	28170
386	17753	28120
387	17803	28081
388	17849	28036
389	17898	27995
390	17940	27943
391	17990	27904
392	18043	27868
393	18088	27820
394	18141	27786
395	18191	27746
396	18244	27710
397	18298	27678
398	18372	27673
399	18419	27629
400	18467	27585
401	18521	27551
402	18568	27507
403	18612	27457
404	18663	27419
405	18710	27374
406	18753	27324
407	18800	27278
408	18844	27229
409	18903	27202
410	18953	27161
411	18997	27112
412	19046	27071
413	19090	27022
414	19136	26975
415	19179	26924
416	19222	26874
417	19289	26857
418	19332	26807
419	19377	26759
420	19421	26710
421	19464	26659
422	19513	26617
423	19559	26571
424	19602	26521
425	19648	26474
426	19690	26423
427	19737	26378
428	19780	26327
429	19829	26285
430	19870	26233
431	19922	26194
432	19967	26146
433	20017	26105
434	20067	26064
435	20110	26014
436	20159	25972
437	20201	25920
438	20250	25878
439	20293	25828
440	20346	25790
441	20400	25754
442	20457	25722
443	20515	25690
444	20557	25639
445	20609	25599
446	20659	25558
447	20703	25509
448	20749	25462
449	20802	25425
450	20846	25375
451	20889	25326
452	20939	25283
453	20982	25234
454	21032	25193
455	21076	25143
456	21128	25104
457	21173	25056
458	21216	25006
459	21260	24957
460	21309	24914
461	21399	24920
462	21456	24886
463	21522	24861
464	21582	24831
465	21644	24802
466	21698	24765
467	21758	24734
468	21813	24697
469	21856	24646
470	21899	24596
471	21943	24547
472	21993	24504
473	22042	24461
474	22087	24412
475	22137	24369
476	22181	24320
477	22229	24276
478	22279	24232
479	22324	24184
480	22373	24140
481	22415	24090
482	22464	24045
483	22508	23997
484	22558	23953
485	22610	23913
486	22657	23867
487	22701	23818
488	22744	23767
489	22792	23722
490	22835	23672
491	22877	23621
492	22921	23572
493	22968	23526
494	23014	23479
495	23058	23430
496	23100	23379
497	23155	23341
498	23198	23291
499	23241	23241
500	23290	23197
501	23342	23156
502	23387	23108
503	23429	23057
504	23483	23018
505	23533	22975
506	23576	22925
507	23623	22879
508	23674	22837
509	23719	22789
510	23763	22740
511	23811	22695
512	23853	22644
513	23897	22595
514	23946	22551
515	23989	22502
516	24037	22457
517	24080	22407
518	24127	22361
519	24172	22313
520	24216	22264
521	24258	22213
522	24300	22162
523	24357	22126
524	24400	22076
525	24442	22026
526	24484	21975
527	24531	21929
528	24574	21880
529	24620	21832
530	24662	21782
531	24711	21738
532	24753	21688
533	24797	21639
534	24845	21594
535	24889	21546
536	24939	21502
537	24987	21457
538	25035	21412
539	25083	21367
540	25127	21318
541	25176	21274
542	25226	21231
543	25271	21183
544	25316	21135
545	25371	21096
546	25415	21047
547	25458	20998
548	25502	20949
549	25549	20903
550	25595	20856
551	25647	20815
552	25690	20766
553	25731	20715
554	25776	20667
555	25830	20626
556	25875	20579
557	25919	20531
558	25969	20487
559	26013	20439
560	26061	20394
561	26113	20351
562	26158	20304
563	26203	20256
564	26250	20210
565	26295	20163
566	26346	20120
567	26391	20072
568	26434	20023
569	26477	19974
570	26530	19933
571	26575	19884
572	26624	19840
573	26667	19791
574	26715	19746
575	26759	19697
576	26800	19647
577	26847	19601
578	26891	19553
579	26935	19504
580	26989	19464
581	27033	19415
582	27075	19366
583	27119	19318
584	27169	19274
585	27217	19228
586	27266	19183
587	27310	19135
588	27356	19089
589	27399	19040
590	27440	18990
591	27483	18941
592	27525	18892
593	27569	18843
594	27615	18797
595	27657	18747
596	27701	18699
597	27744	18650
598	27785	18600
599	27827	18551
600	27869	18502
601	27912	18453
602	27954	18404
603	27996	18355
604	28039	18306
605	28081	18257
606	28125	18209
607	28168	18161
608	28209	18111
609	28252	18062
610	28295	18014
611	28340	17967
612	28388	17922
613	28439	17879
614	28483	17830
615	28533	17786
616	28579	17740
617	28624	17693
618	28666	17644
619	28713	17598
620	28759	17552
621	28811	17509
622	28853	17460
623	28902	17415
624	28946	17367
625	28993	17322
626	29038	17274
627	29081	17226
628	29123	17177
629	29176	17135
630	29221	17088
631	29263	17039
632	29307	16991
633	29357	16947
634	29400	16899
635	29443	16851
636	29492	16806
637	29534	16757
638	29579	16711
639	29626	16665
640	29673	16619
641	29717	16571
642	29762	16524
643	29813	16480
644	29856	16432
645	29900	16385
646	29950	16340
647	29994	16293
648	30041	16247
649	30083	16198
